"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "Name" "POP"
"35" "002.inner-eurasia" "MOE" 0.00772197 -0.000305934 -0.0177869 -0.00773342 -0.00461689 -0.00115046 -0.0133973 0.00225215 0.0206695 0.00270066 -0.00950337 -0.00477759 -0.000819752 0.00730215 -0.0122737 0.00794125 0.0111954 -0.00716506 -0.00812118 -0.00768902 "MOE" "Mordvins"
"36" "002.inner-eurasia" "MOE" 0.00772197 -0.000305934 -0.0177869 -0.00773342 -0.00461689 -0.00115046 -0.0133973 0.00225215 0.0206695 0.00270066 -0.00950337 -0.00477759 -0.000819752 0.00730215 -0.0122737 0.00794125 0.0111954 -0.00716506 -0.00812118 -0.00768902 "GEO" "Georgians"
"37" "002.inner-eurasia" "MOE" 0.00772197 -0.000305934 -0.0177869 -0.00773342 -0.00461689 -0.00115046 -0.0133973 0.00225215 0.0206695 0.00270066 -0.00950337 -0.00477759 -0.000819752 0.00730215 -0.0122737 0.00794125 0.0111954 -0.00716506 -0.00812118 -0.00768902 "Rps" "Russians"
"38" "002.inner-eurasia" "MOE" 0.00772197 -0.000305934 -0.0177869 -0.00773342 -0.00461689 -0.00115046 -0.0133973 0.00225215 0.0206695 0.00270066 -0.00950337 -0.00477759 -0.000819752 0.00730215 -0.0122737 0.00794125 0.0111954 -0.00716506 -0.00812118 -0.00768902 "Rakrlsh" "Russians"
"39" "002.inner-eurasia" "GEO" 0.00824065 0.00699988 0.020465 -0.00996064 0.00219665 -0.00338027 0.00693323 -0.0114048 -1.43505e-05 0.00109011 0.00535975 0.00551787 -0.00855882 0.00621242 0.00102592 0.00119177 -0.00691018 0.00719061 0.00157522 0.00548383 "MOE" "Mordvins"
"40" "002.inner-eurasia" "GEO" 0.00824065 0.00699988 0.020465 -0.00996064 0.00219665 -0.00338027 0.00693323 -0.0114048 -1.43505e-05 0.00109011 0.00535975 0.00551787 -0.00855882 0.00621242 0.00102592 0.00119177 -0.00691018 0.00719061 0.00157522 0.00548383 "GEO" "Georgians"
"41" "002.inner-eurasia" "GEO" 0.00824065 0.00699988 0.020465 -0.00996064 0.00219665 -0.00338027 0.00693323 -0.0114048 -1.43505e-05 0.00109011 0.00535975 0.00551787 -0.00855882 0.00621242 0.00102592 0.00119177 -0.00691018 0.00719061 0.00157522 0.00548383 "Rps" "Russians"
"42" "002.inner-eurasia" "GEO" 0.00824065 0.00699988 0.020465 -0.00996064 0.00219665 -0.00338027 0.00693323 -0.0114048 -1.43505e-05 0.00109011 0.00535975 0.00551787 -0.00855882 0.00621242 0.00102592 0.00119177 -0.00691018 0.00719061 0.00157522 0.00548383 "Rakrlsh" "Russians"
"43" "0023.inner-eurasia" "MON" -0.0142096 -0.0289747 0.00831755 0.00953518 -0.0102297 -0.0222306 -0.00356975 0.00400761 -0.0013488 0.00324674 0.0103773 0.00558123 -0.00744603 -0.00350574 0.00746091 -0.00605414 -0.00364712 0.00565031 0.00224195 0.00272989 "MON" "Mongols"
"44" "003.inner-eurasia" "STA" -0.00396981 -0.0151488 -0.000150207 -0.00667293 0.00133134 0.00176564 -0.00198492 0.0132214 -0.00379892 0.0110622 0.00238092 -0.00174597 -0.00298356 0.00549534 -0.0062878 0.00833569 0.00232991 0.000585891 0.0068897 0.000760608 "BUR" "Mongols"
"45" "003.inner-eurasia" "STA" -0.00396981 -0.0151488 -0.000150207 -0.00667293 0.00133134 0.00176564 -0.00198492 0.0132214 -0.00379892 0.0110622 0.00238092 -0.00174597 -0.00298356 0.00549534 -0.0062878 0.00833569 0.00232991 0.000585891 0.0068897 0.000760608 "STA" "Tatars"
"46" "003.inner-eurasia" "BUR" -0.0148119 -0.0305166 0.00776833 0.011567 -0.0132862 -0.0129358 -0.00135057 -0.0073445 -0.00118382 0.0107424 0.000557564 -0.00145024 0.00603083 -0.00141739 -0.00799373 0.00479624 0.00154848 0.00269456 -0.00230781 0.00695543 "BUR" "Mongols"
"47" "003.inner-eurasia" "BUR" -0.0148119 -0.0305166 0.00776833 0.011567 -0.0132862 -0.0129358 -0.00135057 -0.0073445 -0.00118382 0.0107424 0.000557564 -0.00145024 0.00603083 -0.00141739 -0.00799373 0.00479624 0.00154848 0.00269456 -0.00230781 0.00695543 "STA" "Tatars"
"48" "004.inner-eurasia" "STA" -0.00334347 -0.014497 -0.0028954 -0.00414283 0.000549848 0.00253828 -0.00218122 0.0151564 -0.00102068 0.00973963 0.0115133 0.0101313 0.00340146 -0.0109788 0.00527227 0.00626747 -0.00491402 -0.00885417 -6.6244e-05 -0.0105309 "UDM" "Udmurts"
