ID POP
ALT_771.inner-eurasia Altaian
ALT_774.inner-eurasia Altaian
ALT_775.inner-eurasia Altaian
ALT_776.inner-eurasia Altaian
altai5_altai5.saqqaq Altaian
ALT_750.inner-eurasia Altaian
ALT_876.inner-eurasia Altaian
ALT_916.inner-eurasia Altaian
ALT_918.inner-eurasia Altaian
ALT_935.inner-eurasia Altaian
ALT_082.inner-eurasia Altaian
ALT_090.inner-eurasia Altaian
ALT_092.inner-eurasia Altaian
ALT_093.inner-eurasia Altaian
ALT_167.inner-eurasia Altaian
ALT_168.inner-eurasia Altaian
ALT_952.inner-eurasia Altaian
ALT_900.inner-eurasia Altaian
altai6_altai6.saqqaq Altaian
ALT_741.inner-eurasia Altaian
altai8_altai8.saqqaq Altaian
altai9_altai9.saqqaq Altaian
altai377_altai377.malta Altaian
altai389_altai389.malta Altaian
altai80_altai80.malta Altaian
altai7_altai7.saqqaq Altaian
ALT_743.inner-eurasia Altaian
SaudiA7_SaudiA7.lazaridis-2014 Arabs
SaudiA6_SaudiA6.lazaridis-2014 Arabs
SaudiA5_SaudiA5.lazaridis-2014 Arabs
SaudiA1_SaudiA1.lazaridis-2014 Arabs
saudi1403_saudi1403.lazaridis-2014 Arabs
saudi1424_saudi1424.lazaridis-2014 Arabs
SaudiA9_SaudiA9.lazaridis-2014 Arabs
Jordan646_Jordan646.lazaridis-2014 Arabs
Jordan62_Jordan62.lazaridis-2014 Arabs
saudi1434_saudi1434.lazaridis-2014 Arabs
syria361_syria361.lazaridis-2014 Arabs
syria464_syria464.lazaridis-2014 Arabs
syria461_syria461.lazaridis-2014 Arabs
Jordan603_Jordan603.lazaridis-2014 Arabs
syria485_syria485.lazaridis-2014 Arabs
syria520_syria520.lazaridis-2014 Arabs
syria6_syria6.lazaridis-2014 Arabs
syria7_syria7.lazaridis-2014 Arabs
Yemen10_Yemen10.lazaridis-2014 Arabs
Yemen2_Yemen2.lazaridis-2014 Arabs
Yemen3_Yemen3.lazaridis-2014 Arabs
Yemen5_Yemen5.lazaridis-2014 Arabs
Yemen9_Yemen9.lazaridis-2014 Arabs
syria4_syria4.lazaridis-2014 Arabs
Jordan543_Jordan543.lazaridis-2014 Arabs
Jordan307_Jordan307.lazaridis-2014 Arabs
Jordan445_Jordan445.lazaridis-2014 Arabs
HGDP00642_HGDP00642.hgdp Arabs
HGDP00643_HGDP00643.hgdp Arabs
HGDP00644_HGDP00644.hgdp Arabs
HGDP00645_HGDP00645.hgdp Arabs
HGDP00646_HGDP00646.hgdp Arabs
HGDP00647_HGDP00647.hgdp Arabs
HGDP00648_HGDP00648.hgdp Arabs
HGDP00649_HGDP00649.hgdp Arabs
HGDP00650_HGDP00650.hgdp Arabs
HGDP00651_HGDP00651.hgdp Arabs
HGDP00653_HGDP00653.hgdp Arabs
Jordan503_Jordan503.lazaridis-2014 Arabs
HGDP00654_HGDP00654.hgdp Arabs
Lebanon1_Lebanon1.lazaridis-2014 Arabs
Lebanon2_Lebanon2.lazaridis-2014 Arabs
Lebanon3_Lebanon3.lazaridis-2014 Arabs
Lebanon4_Lebanon4.lazaridis-2014 Arabs
Lebanon5_Lebanon5.lazaridis-2014 Arabs
Lebanon6_Lebanon6.lazaridis-2014 Arabs
Lebanon7_Lebanon7.lazaridis-2014 Arabs
Lebanon8_Lebanon8.lazaridis-2014 Arabs
Jordan214_Jordan214.lazaridis-2014 Arabs
